from,to,weight
1114,3315,1
1114,3332,1
1114,3333,1
1114,3341,1
1114,3343,1
1114,3622,1
1114,3633,1
1114,3634,1
1114,3641,1
1114,3711,1
1114,3712,1
1114,3713,1
1114,3714,1
1114,4222,1
1114,4226,1
1114,4312,1
1114,4323,1
1114,4419,1
1114,5222,1
1114,5413,1
1114,5414,1
1114,5415,1
1121,1212,1
1121,1213,1
1121,1214,1
1121,1215,1
1121,1216,1
1121,1223,1
1121,1311,1
1121,1312,1
1121,1411,1
1121,2149,1
1121,2311,1
1121,2412,1
1121,2413,1
1121,2421,2
1121,2422,1
1121,2423,1
1121,2425,1
1121,2431,1
1121,2434,1
1121,2611,1
1121,2619,1
1121,2711,1
1121,2712,2
1121,2911,1
1121,2914,1
1121,3111,1
1121,3122,1
1121,3123,1
1121,3129,1
1121,3313,1
1121,3332,1
1121,3333,1
1121,3341,1
1121,3343,1
1121,3622,1
1121,3633,1
1121,3634,1
1121,3641,1
1121,3711,1
1121,4211,1
1121,4222,1
1121,4226,1
1121,4312,1
1121,4323,1
1121,4419,1
1121,5211,1
1121,5221,1
1121,5222,1
1121,5231,1
1121,5415,1
1211,1221,1
1211,1223,1
1211,1322,1
1211,1421,1
1211,1511,1
1211,1621,1
1211,1622,1
1211,1623,1
1211,2263,1
1211,2411,2
1211,2412,1
1211,2413,2
1211,2821,1
1211,3131,1
1211,3132,1
1211,3133,1
1211,3134,1
1211,3135,1
1211,3141,1
1211,3311,2
1211,3313,1
1211,4211,1
1211,4311,2
1211,4312,1
1212,2411,1
1212,2413,1
1212,2421,1
1212,2423,1
1212,2425,1
1212,2426,1
1212,4313,1
1213,1215,1
1213,1223,1
1213,2412,1
1213,2413,1
1213,2421,1
1213,2431,2
1213,2432,1
1213,3334,1
1213,3339,1
1213,5169,1
1213,5419,1
1214,1215,1
1214,1216,1
1214,1221,1
1214,1222,1
1214,1223,2
1214,1311,3
1214,1312,1
1214,1321,3
1214,1323,1
1214,1324,2
1214,1411,2
1214,1511,2
1214,1617,1
1214,1618,1
1214,2121,1
1214,2131,1
1214,2132,1
1214,2133,1
1214,2142,1
1214,2146,1
1214,2161,1
1214,2162,1
1214,2165,1
1214,2181,1
1214,2182,2
1214,2263,2
1214,2311,1
1214,2391,1
1214,2411,2
1214,2421,1
1214,2422,1
1214,2423,3
1214,2425,1
1214,2434,2
1214,2511,1
1214,2513,1
1214,2611,1
1214,2619,1
1214,2711,1
1214,2712,1
1214,2842,1
1214,2911,1
1214,2914,1
1214,3119,1
1214,3122,2
1214,3123,1
1214,3129,1
1214,3142,1
1214,3332,1
1214,3333,1
1214,3341,1
1214,3343,1
1214,3512,1
1214,3522,1
1214,3622,2
1214,3633,1
1214,3634,1
1214,3641,1
1214,3711,1
1214,4132,1
1214,4222,1
1214,4226,1
1214,4312,1
1214,4323,1
1214,4415,1
1214,4419,1
1214,5222,1
1214,5242,1
1214,5415,1
1214,7511,1
1214,7515,2
1214,7516,1
1214,7611,1
1214,7633,1
1215,1216,1
1215,1222,1
1215,1223,2
1215,1321,1
1215,1621,1
1215,1622,1
1215,2134,1
1215,2149,1
1215,2182,1
1215,2263,1
1215,2351,1
1215,2353,1
1215,2412,1
1215,2413,1
1215,2421,1
1215,2423,1
1215,2431,1
1215,2842,1
1215,3343,1
1215,4111,1
1215,4121,1
1215,4131,1
1215,4132,1
1215,4312,1
1215,4415,1
1215,4416,1
1216,1221,1
1216,1222,1
1216,1223,2
1216,1311,1
1216,1312,1
1216,1321,1
1216,1411,1
1216,2111,1
1216,2112,1
1216,2114,1
1216,2131,1
1216,2132,1
1216,2133,1
1216,2134,1
1216,2143,1
1216,2145,1
1216,2149,2
1216,2151,1
1216,2152,1
1216,2153,1
1216,2165,1
1216,2173,1
1216,2181,1
1216,2182,1
1216,2251,1
1216,2262,1
1216,2263,1
1216,2269,1
1216,2311,2
1216,2399,1
1216,2412,1
1216,2421,2
1216,2422,2
1216,2423,2
1216,2424,1
1216,2425,1
1216,2426,1
1216,2431,1
1216,2434,2
1216,2512,1
1216,2519,1
1216,2521,1
1216,2523,1
1216,2524,1
1216,2531,1
1216,2542,1
1216,2611,2
1216,2619,2
1216,2711,1
1216,2712,1
1216,2821,1
1216,2822,1
1216,2823,1
1216,2831,1
1216,2842,1
1216,2849,1
1216,2911,1
1216,2912,1
1216,2914,1
1216,3122,1
1216,3123,1
1216,3129,1
1216,3132,1
1216,3133,1
1216,3134,1
1216,3135,1
1216,3141,1
1216,3142,1
1216,3143,1
1216,3144,1
1216,3231,1
1216,3311,1
1216,3313,1
1216,3314,1
1216,3315,1
1216,3332,1
1216,3333,1
1216,3341,1
1216,3343,1
1216,3622,1
1216,3633,1
1216,3634,1
1216,3641,1
1216,3711,1
1216,3712,1
1216,3713,1
1216,3714,1
1216,4222,1
1216,4226,1
1216,4312,1
1216,4323,1
1216,4419,1
1216,5222,1
1216,5415,1
1221,1222,1
1221,1223,1
1221,1421,3
1221,1616,1
1221,1621,2
1221,1622,2
1221,2111,1
1221,2112,1
1221,2114,1
1221,2131,1
1221,2132,1
