"","code","skills","skill_type"
"3479",8151,"Work Safety","specific_skills"
"3480",8152,"Coordination","basic_skills"
"3481",8152,"Reading Comprehension","basic_skills"
"3482",8152,"Machine Operation","specific_skills"
"3483",8152,"Sewing","specific_skills"
"3484",8152,"Work Safety","specific_skills"
"3485",8153,"Coordination","basic_skills"
"3486",8153,"Reading Comprehension","basic_skills"
"3487",8153,"Operation And Control","specific_skills"
"3488",8153,"Sewing","specific_skills"
"3489",8153,"Machine Operation","specific_skills"
"3490",8153,"Work Safety","specific_skills"
"3491",8154,"Coordination","basic_skills"
"3492",8154,"Reading Comprehension","basic_skills"
"3493",8154,"Operation And Control","specific_skills"
"3494",8154,"Machine Operation","specific_skills"
"3495",8154,"Work Safety","specific_skills"
"3496",8155,"Coordination","basic_skills"
"3497",8155,"Reading Comprehension","basic_skills"
"3498",8155,"Operation And Control","specific_skills"
"3499",8155,"Machine Operation","specific_skills"
"3500",8155,"Work Safety","specific_skills"
"3501",8156,"Coordination","basic_skills"
"3502",8156,"Reading Comprehension","basic_skills"
"3503",8156,"Operation And Control","specific_skills"
"3504",8156,"Machine Operation","specific_skills"
"3505",8156,"Work Safety","specific_skills"
"3506",8157,"Coordination","basic_skills"
"3507",8157,"Reading Comprehension","basic_skills"
"3508",8157,"Operation And Control","specific_skills"
"3509",8157,"Machine Operation","specific_skills"
"3510",8157,"Work Safety","specific_skills"
"3511",8159,"Coordination","basic_skills"
"3512",8159,"Reading Comprehension","basic_skills"
"3513",8159,"Operation And Control","specific_skills"
"3514",8159,"Machine Operation","specific_skills"
"3515",8159,"Work Safety","specific_skills"
"3516",8161,"Coordination","basic_skills"
"3517",8161,"Reading Comprehension","basic_skills"
"3518",8161,"Operation And Control","specific_skills"
"3519",8161,"Machine Operation","specific_skills"
"3520",8161,"Work Safety","specific_skills"
"3521",8171,"Coordination","basic_skills"
"3522",8171,"Reading Comprehension","basic_skills"
"3523",8171,"Active Listening","basic_skills"
"3524",8171,"Operation And Control","specific_skills"
"3525",8171,"Machine Operation","specific_skills"
"3526",8171,"Work Safety","specific_skills"
"3527",8172,"Coordination","basic_skills"
"3528",8172,"Reading Comprehension","basic_skills"
"3529",8172,"Active Listening","basic_skills"
"3530",8172,"Operation And Control","specific_skills"
"3531",8172,"Machine Operation","specific_skills"
"3532",8172,"Work Safety","specific_skills"
"3533",8173,"Coordination","basic_skills"
"3534",8173,"Reading Comprehension","basic_skills"
"3535",8173,"Critical Thinking","basic_skills"
"3536",8173,"Operation And Control","specific_skills"
"3537",8173,"Machine Operation","specific_skills"
"3538",8173,"Work Safety","specific_skills"
"3539",8181,"Coordination","basic_skills"
"3540",8181,"Reading Comprehension","basic_skills"
"3541",8181,"Teamwork","basic_skills"
"3542",8181,"Operation And Control","specific_skills"
"3543",8181,"Machine Operation","specific_skills"
"3544",8181,"Work Safety","specific_skills"
"3545",8181,"Equipment Maintenance","specific_skills"
"3546",8182,"Coordination","basic_skills"
"3547",8182,"Reading Comprehension","basic_skills"
"3548",8182,"Teamwork","basic_skills"
"3549",8182,"Equipment Maintenance","specific_skills"
"3550",8182,"Machine Operation","specific_skills"
"3551",8182,"Work Safety","specific_skills"
"3552",8183,"Coordination","basic_skills"
"3553",8183,"Reading Comprehension","basic_skills"
"3554",8183,"Teamwork","basic_skills"
"3555",8183,"Equipment Maintenance","specific_skills"
