code,skills,skill_type
4211,Record Keeping,specific_skills
4212,Active Listening,basic_skills
4212,Speaking,basic_skills
4212,Reading Comprehension,basic_skills
4212,Service Orientation,basic_skills
4212,Critical Thinking,basic_skills
4212,Clerical/ Administration,basic_skills
4212,Microsoft Office,specific_skills
4212,Operating System Software,specific_skills
4212,Microsoft Powerpoint,specific_skills
4212,Business Intelligence (Bi),specific_skills
4212,Microsoft Word,specific_skills
4213,Active Listening,basic_skills
4213,Speaking,basic_skills
4213,Decision Making,basic_skills
4213,Critical Thinking,basic_skills
4213,Complex Problem Solving,basic_skills
4213,Data Entry,specific_skills
4213,Presentation Software,specific_skills
4213,Business Intelligence (Bi),specific_skills
4214,Persuasion,basic_skills
4214,Social Perceptivenesss,basic_skills
4214,Critical Thinking,basic_skills
4214,Monitoring,basic_skills
4214,Negotiation,basic_skills
4214,Microsoft Office,specific_skills
4214,Credit Management,specific_skills
4221,Active Listening,basic_skills
4221,Service Orientation,basic_skills
4221,Reading Comprehension,basic_skills
4221,Speaking,basic_skills
4221,Social Perceptivenesss,basic_skills
4221,Clerical/ Administration,basic_skills
4221,Communication,basic_skills
4221,Costing Skills,specific_skills
4221,Invoicing,specific_skills
4221,Microsoft Excel,specific_skills
4222,Active Listening,basic_skills
4222,Speaking,basic_skills
4222,Service Orientation,basic_skills
4222,Reading Comprehension,basic_skills
4222,Communication,basic_skills
4222,Clerical/ Administration,basic_skills
4222,Critical Thinking,basic_skills
4222,Microsoft Office,specific_skills
4222,Order Processing,specific_skills
4222,Administration Management,specific_skills
4222,Data Entry,specific_skills
4223,Active Listening,basic_skills
4223,Speaking,basic_skills
4223,Service Orientation,basic_skills
4223,Social Perceptivenesss,basic_skills
4223,Critical Thinking,basic_skills
4223,Communication,basic_skills
4223,Clerical/ Administration,basic_skills
4223,Data Entry,specific_skills
4223,Operating System Software,specific_skills
4224,Active Listening,basic_skills
4224,Speaking,basic_skills
4224,Service Orientation,basic_skills
4224,Critical Thinking,basic_skills
4224,Reading Comprehension,basic_skills
4224,Communication,basic_skills
4224,Clerical/ Administration,basic_skills
4224,Microsoft Office,specific_skills
4224,Data Entry,specific_skills
4224,Record Keeping,specific_skills
4225,Active Listening,basic_skills
4225,Speaking,basic_skills
4225,Service Orientation,basic_skills
4225,Reading Comprehension,basic_skills
4225,Critical Thinking,basic_skills
4225,Communication,basic_skills
4225,Clerical/ Administration,basic_skills
4225,Data Entry,specific_skills
4225,Microsoft Office,specific_skills
4225,Database Management,specific_skills
4225,Record Keeping,specific_skills
4226,Active Listening,basic_skills
4226,Speaking,basic_skills
4226,Reading Comprehension,basic_skills
4226,Critical Thinking,basic_skills
4226,Service Orientation,basic_skills
4226,Communication,basic_skills
4226,Clerical/ Administration,basic_skills
4226,Database User Interface And Query Software,specific_skills
4226,Administration Management,specific_skills
4226,Data Entry,specific_skills
4226,Presentation Software,specific_skills
4226,Data Management,specific_skills
4229,Active Listening,basic_skills
4229,Service Orientation,basic_skills
4229,Social Perceptivenesss,basic_skills
4229,Coordination,basic_skills
4229,Reading Comprehension,basic_skills
4229,Clerical/ Administration,basic_skills
4229,Microsoft Office,specific_skills
4229,Database User Interface And Query Software,specific_skills
4229,Data Entry,specific_skills
4311,Mathematics,basic_skills
4311,Active Listening,basic_skills
4311,Critical Thinking,basic_skills
4311,Reading Comprehension,basic_skills
4311,Speaking,basic_skills
4311,Clerical/ Administration,basic_skills
4311,Microsoft Office,specific_skills
4311,Data Entry,specific_skills
4311,Account Management,specific_skills
4311,Financial Reporting,specific_skills
4311,Invoice Processing,specific_skills
4312,Active Listening,basic_skills
4312,Speaking,basic_skills
4312,Reading Comprehension,basic_skills
4312,Writing,basic_skills
4312,Service Orientation,basic_skills
4312,Clerical/ Administration,basic_skills
4312,Administration Management,specific_skills
4312,Microsoft Word,specific_skills
4312,Microsoft Office,specific_skills
4312,Document Management,specific_skills
4312,Financial Reporting,specific_skills
4312,Leasing,specific_skills
4312,Budgeting,specific_skills
4313,Speaking,basic_skills
4313,Reading Comprehension,basic_skills
4313,Critical Thinking,basic_skills
4313,Writing,basic_skills
4313,Mathematics,basic_skills
4313,Clerical/ Administration,basic_skills
4313,Payroll Administration,specific_skills
4313,Microsoft Office,specific_skills
